600807	*ST天业	ty
600808	马钢股份	mggf
600809	山西汾酒	sxfj
600810	神马股份	smgf
600811	东方集团	dfjt
600812	华北制药	hbzy
600814	杭州解百	hzjb
600815	厦工股份	xggf
600816	安信信托	axxt
600817	ST宏盛	hs
600818	中路股份	zlgf
600819	耀皮玻璃	ypbl
600820	隧道股份	sdgf
600821	津劝业	jqy
600822	上海物贸	shwm
600823	世茂股份	smgf
600824	益民集团	ymjt
600825	新华传媒	xhcm
600826	兰生股份	lsgf
600827	百联股份	blgf
600828	茂业商业	mysy
600829	人民同泰	rmtt
600830	香溢融通	xyrt
600831	广电网络	gdwl
600833	第一医药	dyyy
600834	申通地铁	stdt
600835	上海机电	shjd
600836	界龙实业	jlsy
600837	海通证券	htzq
600838	上海九百	shjb
600839	四川长虹	scch
600841	上柴股份	scgf
600843	上工申贝	sgsb
600844	丹化科技	dhkj
600845	宝信软件	bxrj
600846	同济科技	tjkj
600847	万里股份	wlgf
600848	上海临港	shlg
600850	华东电脑	hddn
600851	海欣股份	hxgf
600853	龙建股份	ljgf
600854	春兰股份	clgf
600855	航天长峰	htcf
600856	中天能源	ztny
600857	宁波中百	nbzb
600858	银座股份	yzgf
600859	王府井	wfj
600860	京城股份	jcgf
600861	北京城乡	bjcx
600862	中航高科	zhgk
600863	内蒙华电	nmhd
600864	哈投股份	htgf
600865	百大集团	bdjt
600866	星湖科技	xhkj
600867	通化东宝	thdb
600868	梅雁吉祥	myjx
600869	智慧能源	zhny
600870	*ST厦华	xh
600871	*ST油服	yf
600872	中炬高新	zjgx
600873	梅花生物	mhsw
600874	创业环保	cyhb
600875	东方电气	dfdq
600876	洛阳玻璃	lybl
600877	ST嘉陵	jl
600879	航天电子	htdz
600880	博瑞传播	brcb
600881	亚泰集团	ytjt
600882	广泽股份	gzgf
600883	博闻科技	bwkj
600884	杉杉股份	ssgf
600885	宏发股份	hfgf
600886	国投电力	gtdl
600887	伊利股份	ylgf
600888	新疆众和	xjzh
600889	南京化纤	njhx
600890	中房股份	zfgf
600891	秋林集团	qljt
600892	大晟文化	dswh
600893	航发动力	hfdl
600894	广日股份	grgf
600895	张江高科	zjgk
600896	*ST海投	ht
600897	厦门空港	xmkg
600898	国美通讯	gmtx
600900	长江电力	cjdl
600901	江苏租赁	jszl
600903	贵州燃气	gzrq
600908	无锡银行	wxyx
600909	华安证券	hazq
600917	重庆燃气	zqrq
600919	江苏银行	jsyx
600926	杭州银行	hzyx
600929	湖南盐业	hnyy
600933	爱柯迪	akd
600936	广西广电	gxgd
600939	重庆建工	zqjg
600958	东方证券	dfzq
600959	江苏有线	jsyx
600960	渤海汽车	bhqc
600961	株冶集团	zyjt
600962	国投中鲁	gtzl
600963	岳阳林纸	yylz
600965	福成股份	fcgf
600966	博汇纸业	bhzy
600967	内蒙一机	nmyj
600969	郴电国际	cdgj
600970	中材国际	zcgj
600971	恒源煤电	hymd
600973	宝胜股份	bsgf
600975	新五丰	xwf
600976	健民集团	jmjt
600977	中国电影	zgdy
600978	宜华生活	yhsh
600979	广安爱众	gaaz
600980	北矿科技	bkkj
600981	汇鸿集团	hhjt
600982	宁波热电	nbrd
600983	惠而浦	hep
600984	建设机械	jsjx
600985	雷鸣科化	lmkh
600986	科达股份	kdgf
600987	航民股份	hmgf
600988	赤峰黄金	cfhj
600990	四创电子	scdz
600992	贵绳股份	gsgf
600993	马应龙	myl
600995	文山电力	wsdl
600996	贵广网络	ggwl
600997	开滦股份	klgf
600998	九州通	jzt
600999	招商证券	zszq
601000	唐山港	tsg
601001	大同煤业	dtmy
601002	晋亿实业	jysy
601003	柳钢股份	lggf
601005	重庆钢铁	zqgt
601006	大秦铁路	dqtl
601007	金陵饭店	jlfd
601008	连云港	lyg
601009	南京银行	njyx
601010	文峰股份	wfgf
601011	宝泰隆	btl
601012	隆基股份	ljgf
601015	陕西黑猫	sxhm
601016	节能风电	jnfd
601018	宁波港	nbg
601019	山东出版	sdcb
601020	华钰矿业	hyky
601021	春秋航空	cqhk
601028	玉龙股份	ylgf
601038	一拖股份	ytgf
601058	赛轮金宇	sljy
601066	中信建投	zxjt
601069	西部黄金	xbhj
601086	国芳集团	gfjt
601088	中国神华	zgsh
601098	中南传媒	zncm
601099	太平洋	tpy
601100	恒立液压	hlyy
601101	昊华能源	hhny
601106	中国一重	zgyz
601107	四川成渝	sccy
601108	财通证券	ctzq
601111	中国国航	zggh
601113	华鼎股份	hdgf
601116	三江购物	sjgw
601117	中国化学	zghx
601118	海南橡胶	hnxj
601126	四方股份	sfgf
601127	小康股份	xkgf
601128	常熟银行	csyx
601137	博威合金	bwhj
601138	工业富联	gyfl
601139	深圳燃气	szrq
601155	新城控股	xckg
601158	重庆水务	zqsw
601163	三角轮胎	sjlt
601166	兴业银行	xyyx
601168	西部矿业	xbky
601169	北京银行	bjyx
601177	杭齿前进	hcqj
601179	中国西电	zgxd
601186	中国铁建	zgtj
601188	龙江交通	ljjt
601198	东兴证券	dxzq
601199	江南水务	jnsw
601200	上海环境	shhj
601208	东材科技	dckj
601211	国泰君安	gtja
601212	白银有色	byys
601216	君正集团	jzjt
601218	吉鑫科技	jxkj
601222	林洋能源	lyny
601225	陕西煤业	sxmy
601226	华电重工	hdzg
601228	广州港	gzg
601229	上海银行	shyx
601231	环旭电子	hxdz
601233	桐昆股份	tkgf
601238	广汽集团	gqjt
601258	庞大集团	pdjt
601288	农业银行	nyyx
601311	骆驼股份	ltgf
601318	中国平安	zgpa
601326	秦港股份	qggf
601328	交通银行	jtyx
601330	绿色动力	lsdl
601333	广深铁路	gstl
601336	新华保险	xhbx
601339	百隆东方	bldf
601360	三六零	sll
601366	利群股份	lqgf
601368	绿城水务	lcsw
601369	陕鼓动力	sgdl
601375	中原证券	zyzq
601377	兴业证券	xyzq
601388	怡球资源	yqzy
601390	中国中铁	zgzt
601398	工商银行	gsyx
601500	通用股份	tygf
601515	东风股份	dfgf
601518	吉林高速	jlgs
601519	大智慧	dzh
601555	东吴证券	dwzq
601558	ST锐电	rd
601566	九牧王	jmw
601567	三星医疗	sxyl
601579	会稽山	hjs
601588	北辰实业	bcsy
601595	上海电影	shdy
601599	鹿港文化	lgwh
601600	中国铝业	zgly
601601	中国太保	zgtb
601607	上海医药	shyy
601608	中信重工	zxzg
601611	中国核建	zghj
601616	广电电气	gddq
601618	中国中冶	zgzy
601619	嘉泽新能	jzxn
601628	中国人寿	zgrs
601633	长城汽车	ccqc
601636	旗滨集团	qbjt
601666	平煤股份	pmgf
601668	中国建筑	zgjz
601669	中国电建	zgdj
601677	明泰铝业	mtly
601678	滨化股份	bhgf
601688	华泰证券	htzq
601689	拓普集团	tpjt
601699	潞安环能	lahn
601700	风范股份	ffgf
601717	郑煤机	zmj
601718	际华集团	jhjt
601727	上海电气	shdq
601766	中国中车	zgzc
601777	力帆股份	lfgf
601788	光大证券	gdzq
601789	宁波建工	nbjg
601798	*ST蓝科	lk
601799	星宇股份	xygf
601800	中国交建	zgjj
601801	皖新传媒	wxcm
601808	中海油服	zhyf
601811	新华文轩	xhwx
601818	光大银行	gdyx
601828	美凯龙	mkl
601838	成都银行	cdyx
601857	中国石油	zgsy
601858	中国科传	zgkc
601866	中远海发	zyhf
601872	招商轮船	zslc
601877	正泰电器	ztdq
601878	浙商证券	zszq
601880	大连港	dlg
601881	中国银河	zgyh
601882	海天精工	htjg
601886	江河集团	jhjt
601888	中国国旅	zggl
601890	亚星锚链	yxml
601898	中煤能源	zmny
601899	紫金矿业	zjky
601900	南方传媒	nfcm
601901	方正证券	fzzq
601908	京运通	jyt
601918	新集能源	xjny
601919	中远海控	zyhk
601928	凤凰传媒	fhcm
601929	吉视传媒	jscm
601933	永辉超市	yhcs
601939	建设银行	jsyx
601949	中国出版	zgcb
601952	苏垦农发	sknf
601958	金钼股份	jmgf
601965	中国汽研	zgqy
601966	玲珑轮胎	lllt
601968	宝钢包装	bgbz
601969	海南矿业	hnky
601985	中国核电	zghd
601988	中国银行	zgyx
601989	中国重工	zgzg
601990	南京证券	njzq
601991	大唐发电	dtfd
601992	金隅集团	jyjt
601996	丰林集团	fljt
601997	贵阳银行	gyyx
601998	中信银行	zxyx
601999	出版传媒	cbcm
603000	人民网	rmw
603001	奥康国际	akgj
603002	宏昌电子	hcdz
603003	龙宇燃油	lyry
603005	晶方科技	jfkj
603006	联明股份	lmgf
603007	花王股份	hwgf
603008	喜临门	xlm
603009	北特科技	btkj
603010	万盛股份	wsgf
603011	合锻智能	hdzn
603012	创力集团	cljt
603013	亚普股份	ypgf
603015	弘讯科技	hxkj
603016	新宏泰	xht
603017	中衡设计	zhsj
603018	中设集团	zsjt
603019	中科曙光	zksg
603020	爱普股份	apgf
603021	山东华鹏	sdhp
603022	新通联	xtl
603023	威帝股份	wdgf
603025	大豪科技	dhkj
603026	石大胜华	sdsh
603027	千禾味业	qhwy
603028	赛福天	sft
603029	天鹅股份	tegf
603030	全筑股份	qzgf
603031	安德利	adl
603032	德新交运	dxjy
603033	三维股份	swgf
603035	常熟汽饰	csqs
603036	如通股份	rtgf
603037	凯众股份	kzgf
603038	华立股份	hlgf
603039	泛微网络	fwwl
603040	新坐标	xzb
603041	美思德	msd
603042	华脉科技	hmkj
603043	广州酒家	gzjj
603045	福达合金	fdhj
603050	科林电气	kldq
603055	台华新材	thxc
603056	德邦股份	dbgf
603058	永吉股份	yjgf
603059	倍加洁	bjj
603060	国检集团	gjjt
603063	禾望电气	hwdq
603066	音飞储存	yfcc
603067	振华股份	zhgf
603069	海汽集团	hqjt
603076	乐惠国际	lhgj
603077	和邦生物	hbsw
603078	江化微	jhw
603079	圣达生物	sdsw
603080	新疆火炬	xjhj
603081	大丰实业	dfsy
603083	剑桥科技	jqkj
603085	天成自控	tczk
603086	先达股份	xdgf
603088	宁波精达	nbjd
603089	正裕工业	zygy
